姓名,年龄,籍贯,身高,体重,婚恋
贾军,20,福建省,169.0,60.5,恋爱中
程斌,44,重庆市,162.3,51.1,单身
汪波,32,安徽省,165.5,57.4,单身
任柳,38,台湾省,166.5,58.8,恋爱中
银阳,33,内蒙古自治区,167.2,51.8,已婚
杨龙,34,台湾省,168.6,56.2,已婚
胡晶,31,福建省,172.4,50.9,离异
梁杰,33,河北省,170.7,56.2,恋爱中
吴建华,32,香港特别行政区,158.7,52.1,恋爱中
王琴,30,河北省,160.4,57.5,恋爱中
杨亮,37,河南省,164.6,51.6,恋爱中
廖秀荣,45,辽宁省,161.9,67.9,单身
陈强,26,天津市,170.6,57.6,离异
赵婷婷,28,浙江省,162.2,55.7,已婚
林桂芳,44,江苏省,165.1,48.9,单身
马金凤,27,山西省,160.7,45.0,已婚
王旭,44,香港特别行政区,164.0,58.9,离异
柳琳,45,黑龙江省,159.6,64.4,恋爱中
刘建,32,黑龙江省,155.9,46.2,离异
侯秀梅,29,北京市,163.1,61.3,已婚
胡玲,35,吉林省,170.4,52.2,离异
萧磊,32,北京市,167.4,54.8,已婚
刘东,45,北京市,161.1,60.3,恋爱中
李淑珍,40,云南省,165.3,45.5,恋爱中
邱晶,36,台湾省,169.4,63.3,离异
黄霞,25,香港特别行政区,158.9,57.4,离异
陈淑珍,19,宁夏回族自治区,164.5,56.6,已婚
谢荣,41,广西壮族自治区,159.2,51.0,离异
张鹏,40,陕西省,161.9,62.0,离异
李涛,30,浙江省,164.7,52.8,恋爱中
康文,33,江西省,165.9,37.9,单身
邱军,22,海南省,167.7,44.6,已婚
吕洁,45,西藏自治区,160.2,48.3,单身
郭亮,45,四川省,155.5,62.0,离异
符丽娟,21,湖南省,159.7,57.1,离异
张柳,18,吉林省,161.8,57.9,恋爱中
李桂兰,31,重庆市,162.4,47.3,恋爱中
王刚,20,山西省,167.0,52.0,离异
叶帆,43,天津市,154.2,52.4,已婚
张畅,28,吉林省,169.5,60.1,离异
李俊,38,重庆市,160.3,52.9,单身
李桂兰,45,澳门特别行政区,160.4,67.5,已婚
夏淑兰,45,天津市,163.9,57.6,离异
刘桂芝,28,广东省,167.2,56.4,离异
杨柳,45,浙江省,160.7,53.8,单身
齐桂珍,37,湖南省,161.6,54.8,单身
赵佳,25,重庆市,165.6,55.3,已婚
陈红霞,25,宁夏回族自治区,165.7,54.5,单身
萧淑华,31,云南省,162.4,43.0,单身
陈亮,42,台湾省,166.6,57.1,单身
马玲,32,湖南省,167.0,37.6,恋爱中
朱秀珍,40,湖南省,172.4,54.2,已婚
周兵,18,河北省,167.5,48.8,单身
何婷,28,四川省,165.1,48.7,单身
高畅,27,河北省,158.9,66.5,已婚
张晶,29,海南省,161.0,56.3,离异
韦刚,22,云南省,166.4,58.0,恋爱中
刘晶,34,澳门特别行政区,162.8,57.2,离异
周帆,36,陕西省,174.0,54.7,恋爱中
岳秀珍,23,吉林省,163.0,61.3,恋爱中
王凤兰,20,广西壮族自治区,167.5,62.1,离异
陈杰,37,四川省,165.2,48.1,恋爱中
赵鑫,33,陕西省,170.2,48.1,恋爱中
李龙,25,山西省,163.5,50.5,离异
张凯,38,天津市,161.7,57.0,已婚
王丽娟,32,内蒙古自治区,163.6,57.5,已婚
张琴,39,河北省,170.1,57.7,单身
段雷,43,福建省,160.8,60.8,离异
张建平,27,海南省,167.9,47.6,恋爱中
谈浩,20,湖北省,165.0,59.2,离异
梁军,29,贵州省,160.5,63.3,已婚
徐兵,38,新疆维吾尔自治区,161.2,55.8,离异
林欢,40,海南省,161.1,55.1,已婚
刘霞,32,青海省,156.5,46.4,已婚
何秀云,24,山西省,170.0,49.9,离异
王雪,45,重庆市,157.0,42.1,离异
傅丽,21,澳门特别行政区,158.8,47.1,恋爱中
方红,30,青海省,170.2,61.1,已婚
杨凤兰,36,澳门特别行政区,158.6,68.5,已婚
黄帅,40,重庆市,166.9,53.1,已婚
许丹丹,18,云南省,149.5,68.7,离异
宋秀华,26,四川省,155.1,45.1,单身
李帆,36,甘肃省,167.1,69.6,单身
刘秀华,37,安徽省,168.9,58.4,离异
张涛,44,甘肃省,165.0,60.1,已婚
刘彬,42,山西省,165.8,56.7,恋爱中
陈欢,37,台湾省,162.5,54.6,已婚
余佳,25,广西壮族自治区,158.2,53.3,恋爱中
赵辉,37,宁夏回族自治区,153.5,54.4,已婚
赵俊,39,上海市,157.1,48.4,恋爱中
张建平,38,北京市,162.9,63.4,单身
胡颖,38,广西壮族自治区,166.6,45.6,单身
余刚,27,福建省,157.1,60.6,离异
王秀梅,19,西藏自治区,157.1,53.7,已婚
邓秀荣,41,西藏自治区,164.8,49.2,恋爱中
陈云,20,吉林省,162.5,47.0,已婚
陈华,28,西藏自治区,159.0,56.9,离异
杜丹丹,23,四川省,154.0,57.6,恋爱中
史建,22,河南省,161.9,58.3,已婚
方旭,34,四川省,163.1,63.2,已婚
袁想,44,云南省,162.6,52.4,恋爱中
史宁,26,北京市,162.6,58.3,离异
傅岩,43,吉林省,162.2,55.2,已婚
文璐,41,新疆维吾尔自治区,158.5,51.0,已婚
谭鑫,43,湖南省,155.0,65.5,单身
商玉兰,32,甘肃省,155.8,50.8,单身
朱彬,22,河北省,158.4,60.4,恋爱中
佘璐,45,青海省,160.5,62.5,离异
徐健,45,澳门特别行政区,158.6,56.7,已婚
刘丽娟,20,江西省,157.8,67.9,离异
纪洁,18,甘肃省,156.1,56.9,已婚
李兵,35,西藏自治区,165.2,57.5,单身
周超,32,江苏省,161.1,54.2,已婚
刘晶,39,西藏自治区,162.2,54.1,已婚
卢杰,36,重庆市,166.8,68.3,离异
黄英,44,青海省,159.2,46.8,已婚
晏帆,21,甘肃省,161.6,70.5,恋爱中
吴丹,33,江苏省,158.0,64.8,单身
熊秀芳,37,四川省,170.4,51.7,已婚
陈凯,37,台湾省,164.8,64.8,恋爱中
熊杰,38,福建省,160.1,53.8,单身
敬桂花,38,广西壮族自治区,159.1,48.9,离异
王玉梅,40,海南省,158.8,47.7,已婚
李淑兰,38,四川省,162.2,50.4,离异
韦秀兰,21,四川省,163.2,45.7,恋爱中
王建,19,青海省,163.7,60.0,单身
唐健,27,安徽省,152.0,57.2,离异
张金凤,21,台湾省,168.1,47.7,单身
刘桂香,25,宁夏回族自治区,170.4,57.5,恋爱中
洪建军,30,河北省,158.5,54.7,离异
徐慧,29,河北省,164.8,55.5,离异
江兰英,36,吉林省,164.7,49.5,恋爱中
卢艳,31,海南省,162.8,46.5,单身
丁明,44,安徽省,161.4,49.6,离异
方玉兰,37,黑龙江省,158.3,62.4,离异
冯军,26,广东省,167.5,58.7,单身
陈平,40,云南省,156.5,53.1,已婚
李金凤,24,甘肃省,168.1,55.9,离异
吕莉,32,山西省,173.6,57.4,恋爱中
李莉,45,海南省,163.0,53.1,已婚
王建平,21,广西壮族自治区,162.7,54.1,已婚
赵磊,35,黑龙江省,165.5,60.7,已婚
孔桂珍,19,河北省,158.1,47.0,离异
高丹丹,26,山西省,152.8,58.0,恋爱中
李凤兰,21,山西省,156.5,42.1,离异
张秀兰,20,山西省,163.9,70.0,恋爱中
徐雷,38,湖北省,162.0,60.0,单身
樊俊,19,广西壮族自治区,162.4,54.4,已婚
