姓名,年龄,籍贯,身高,体重,婚恋
吴玉兰,38,贵州省,175.0,68.9,单身
向坤,18,江西省,175.9,82.2,已婚
沈雪梅,25,江苏省,170.6,68.1,恋爱中
何玉华,22,吉林省,181.5,76.1,单身
柴秀芳,39,江苏省,169.2,74.3,单身
张明,36,重庆市,169.2,66.3,离异
古秀珍,19,山西省,173.5,54.7,单身
王淑兰,20,广西壮族自治区,161.7,65.5,恋爱中
蒋艳,25,澳门特别行政区,165.9,72.5,单身
刘颖,35,河南省,166.6,58.7,恋爱中
喻晨,40,河南省,180.8,68.2,离异
李丽华,25,黑龙江省,172.4,58.6,离异
黄晶,36,香港特别行政区,168.7,70.9,已婚
杨云,43,河南省,165.1,73.0,单身
黎英,42,云南省,168.4,67.7,恋爱中
汪彬,40,湖南省,168.4,84.8,离异
刁杨,28,江西省,171.9,61.5,已婚
杨辉,22,江西省,176.9,60.2,恋爱中
陈伟,42,重庆市,173.3,54.3,已婚
刘浩,21,广东省,164.0,71.6,单身
张建华,30,广东省,176.4,71.4,单身
孔春梅,29,广西壮族自治区,171.3,67.6,已婚
周桂芳,37,天津市,163.1,64.2,已婚
何雪,43,宁夏回族自治区,169.2,78.5,单身
田娜,41,江西省,174.1,55.9,离异
臧雪梅,35,安徽省,173.9,66.9,单身
王明,30,福建省,167.9,74.9,单身
尹秀云,35,台湾省,178.2,77.5,已婚
张桂花,44,重庆市,167.0,67.5,已婚
何春梅,36,辽宁省,174.0,77.8,恋爱中
李彬,40,陕西省,169.1,68.5,单身
蒋超,19,青海省,165.4,60.4,恋爱中
钟秀华,42,内蒙古自治区,176.9,80.8,已婚
杨红梅,20,四川省,171.6,78.0,恋爱中
樊军,45,上海市,174.2,64.8,单身
吴丹,30,湖南省,174.2,82.3,已婚
郑桂芳,32,四川省,171.8,82.5,已婚
刘兵,23,江苏省,156.3,76.6,已婚
徐建,29,内蒙古自治区,172.5,67.6,恋爱中
任玲,39,陕西省,172.6,54.1,已婚
唐杨,40,甘肃省,170.7,72.9,单身
王玉兰,37,山东省,180.9,65.9,恋爱中
李成,35,四川省,167.1,66.0,恋爱中
杨建军,23,青海省,177.5,72.6,离异
李瑜,30,内蒙古自治区,168.8,74.1,已婚
刘桂英,38,四川省,172.6,77.7,恋爱中
林洁,39,辽宁省,167.8,67.4,已婚
蒋杨,44,山西省,169.6,58.3,单身
高琳,25,内蒙古自治区,173.8,72.1,单身
张坤,43,福建省,172.0,68.1,已婚
贺桂珍,30,重庆市,163.5,66.6,已婚
张艳,20,澳门特别行政区,169.9,63.6,恋爱中
谷萍,36,青海省,171.0,73.2,已婚
陆彬,24,广西壮族自治区,183.3,71.4,离异
周金凤,30,湖北省,173.5,69.4,离异
马秀珍,22,辽宁省,160.5,69.8,已婚
江勇,22,江苏省,172.4,89.7,恋爱中
王小红,41,辽宁省,170.8,72.4,已婚
陈磊,41,浙江省,171.8,60.7,离异
潘峰,36,宁夏回族自治区,178.9,76.0,离异
张瑜,29,江苏省,176.7,62.7,恋爱中
马萍,22,北京市,180.4,58.8,离异
徐晨,20,吉林省,175.5,87.5,单身
张健,45,四川省,166.1,65.5,单身
陈杨,22,湖北省,172.6,66.0,恋爱中
舒金凤,43,四川省,162.7,70.5,离异
谢畅,37,江苏省,165.6,73.8,单身
陈婷,30,吉林省,166.5,82.4,离异
沈莹,37,重庆市,167.3,67.4,离异
叶莉,34,贵州省,176.9,60.2,已婚
王勇,35,天津市,173.4,80.5,单身
常志强,39,贵州省,162.4,71.5,单身
梁平,39,湖北省,173.6,76.3,已婚
储畅,42,北京市,164.6,59.4,已婚
仝东,21,河北省,175.1,72.4,已婚
刘玉华,31,安徽省,173.5,72.8,恋爱中
何刚,32,湖南省,167.9,71.9,单身
陈倩,41,新疆维吾尔自治区,173.8,64.3,已婚
张莹,34,山西省,183.2,73.8,恋爱中
吴丹丹,34,新疆维吾尔自治区,164.9,75.3,单身
李楠,45,西藏自治区,166.2,76.3,已婚
杨浩,44,上海市,179.0,63.4,恋爱中
王春梅,22,陕西省,177.8,73.3,已婚
段帅,42,浙江省,176.9,85.2,恋爱中
王萍,35,宁夏回族自治区,170.5,64.0,单身
李林,37,青海省,166.7,63.5,已婚
王红,33,西藏自治区,171.5,72.7,单身
陈春梅,21,湖北省,173.7,76.6,已婚
卫颖,44,西藏自治区,172.1,81.6,已婚
江桂芝,25,湖北省,170.4,91.8,单身
邱琴,25,四川省,175.8,63.1,单身
罗秀梅,20,北京市,165.6,73.9,离异
