姓名,年龄,籍贯,身高,体重,婚恋
周荣,38,河北省,175.0,68.9,单身
邓秀珍,18,贵州省,175.9,82.2,已婚
王梅,25,江苏省,170.6,68.1,恋爱中
蔡淑珍,22,浙江省,181.5,76.1,单身
李云,39,江苏省,169.2,74.3,单身
吴桂珍,36,吉林省,169.2,66.3,离异
冯利,19,湖北省,173.5,54.7,单身
钟宁,20,河南省,161.7,65.5,恋爱中
曹凤兰,25,安徽省,165.9,72.5,单身
苏畅,35,黑龙江省,166.6,58.7,恋爱中
夏强,40,山西省,180.8,68.2,离异
刘亮,25,辽宁省,172.4,58.6,离异
陈欣,36,新疆维吾尔自治区,168.7,70.9,已婚
祝利,43,上海市,165.1,73.0,单身
张小红,42,浙江省,168.4,67.7,恋爱中
杨凤英,40,江西省,168.4,84.8,离异
宋颖,28,湖南省,171.9,61.5,已婚
何颖,22,北京市,176.9,60.2,恋爱中
苏慧,42,福建省,173.3,54.3,已婚
何瑜,21,江苏省,164.0,71.6,单身
尹琴,30,山东省,176.4,71.4,单身
曹波,29,北京市,171.3,67.6,已婚
金刚,37,新疆维吾尔自治区,163.1,64.2,已婚
梁飞,43,海南省,169.2,78.5,单身
耿颖,41,香港特别行政区,174.1,55.9,离异
韦军,35,澳门特别行政区,173.9,66.9,单身
王莹,30,云南省,167.9,74.9,单身
徐峰,35,云南省,178.2,77.5,已婚
唐洋,44,宁夏回族自治区,167.0,67.5,已婚
黄军,36,河北省,174.0,77.8,恋爱中
顾文,40,陕西省,169.1,68.5,单身
何玉华,19,甘肃省,165.4,60.4,恋爱中
罗柳,42,山西省,176.9,80.8,已婚
赵倩,20,上海市,171.6,78.0,恋爱中
何凤兰,45,广东省,174.2,64.8,单身
孔建华,30,四川省,174.2,82.3,已婚
邱颖,32,江苏省,171.8,82.5,已婚
陈欢,23,台湾省,156.3,76.6,已婚
蔡桂花,29,台湾省,172.5,67.6,恋爱中
丁娟,39,黑龙江省,172.6,54.1,已婚
徐伟,40,浙江省,170.7,72.9,单身
杨想,37,重庆市,180.9,65.9,恋爱中
林明,35,天津市,167.1,66.0,恋爱中
王桂芝,23,安徽省,177.5,72.6,离异
徐欢,30,四川省,168.8,74.1,已婚
马凯,38,台湾省,172.6,77.7,恋爱中
蒋杰,39,广东省,167.8,67.4,已婚
杨霞,44,澳门特别行政区,169.6,58.3,单身
周志强,25,浙江省,173.8,72.1,单身
韩玉梅,43,青海省,172.0,68.1,已婚
周佳,30,台湾省,163.5,66.6,已婚
唐燕,20,黑龙江省,169.9,63.6,恋爱中
王秀兰,36,广西壮族自治区,171.0,73.2,已婚
谷兰英,24,重庆市,183.3,71.4,离异
陈旭,30,澳门特别行政区,173.5,69.4,离异
林刚,22,天津市,160.5,69.8,已婚
李玉英,22,吉林省,172.4,89.7,恋爱中
张金凤,41,云南省,170.8,72.4,已婚
王想,41,广东省,171.8,60.7,离异
胡凤兰,36,黑龙江省,178.9,76.0,离异
任帆,29,浙江省,176.7,62.7,恋爱中
王冬梅,22,甘肃省,180.4,58.8,离异
马倩,20,西藏自治区,175.5,87.5,单身
张佳,45,澳门特别行政区,166.1,65.5,单身
牛建,22,内蒙古自治区,172.6,66.0,恋爱中
徐建军,43,河北省,162.7,70.5,离异
曾桂芳,37,内蒙古自治区,165.6,73.8,单身
许斌,30,广西壮族自治区,166.5,82.4,离异
陈玉,37,重庆市,167.3,67.4,离异
谢璐,34,湖北省,176.9,60.2,已婚
王玉珍,35,广东省,173.4,80.5,单身
张飞,39,宁夏回族自治区,162.4,71.5,单身
赵霞,39,重庆市,173.6,76.3,已婚
何斌,42,山西省,164.6,59.4,已婚
唐利,21,陕西省,175.1,72.4,已婚
徐慧,31,香港特别行政区,173.5,72.8,恋爱中
冯畅,32,海南省,167.9,71.9,单身
杨勇,41,广东省,173.8,64.3,已婚
田冬梅,34,上海市,183.2,73.8,恋爱中
李秀荣,34,河北省,164.9,75.3,单身
刘璐,45,台湾省,166.2,76.3,已婚
刘淑英,44,浙江省,179.0,63.4,恋爱中
万斌,22,湖南省,177.8,73.3,已婚
梁健,42,青海省,176.9,85.2,恋爱中
盛琴,35,吉林省,170.5,64.0,单身
卢桂英,37,贵州省,166.7,63.5,已婚
刘婷婷,33,吉林省,171.5,72.7,单身
胡玉,21,江苏省,173.7,76.6,已婚
曹兵,44,内蒙古自治区,172.1,81.6,已婚
黄淑英,25,江苏省,170.4,91.8,单身
吴梅,25,河南省,175.8,63.1,单身
康秀华,20,天津市,165.6,73.9,离异
曹玉华,44,安徽省,170.7,75.7,单身
黄琴,42,上海市,174.8,69.4,恋爱中
严秀华,22,贵州省,166.9,57.9,离异
王彬,35,甘肃省,169.3,76.9,恋爱中
朱佳,26,广西壮族自治区,173.3,60.0,离异
朱强,24,山西省,173.0,73.1,恋爱中
沈红霞,40,河南省,166.7,71.2,已婚
俞佳,30,内蒙古自治区,172.3,60.9,已婚
